municipio_id,nombre,year
5164,NAVAQUESERA,2009
5165,NAVARREDONDA DE GREDOS,2005
5166,NAVARREDONDILLA,1989
5167,NAVARREVISCA,2006
5169,NAVATALGORDO,1987
5170,NAVATEJARES,1989
5171,NEILA DE SAN MIGUEL,2008
5172,NIHARRA,2008
5173,OJOS-ALBOS,1989
5174,ORBITA,2012
5176,PADIERNOS,2014
5177,PAJARES DE ADAJA,1989
5178,PALACIOS DE GODA,2008
5179,PAPATRIGO,1990
5181,PASCUALCOBO,2013
5182,PEDRO BERNARDO,2007
5183,PEDRO RODRIGUEZ,1990
5184,PEGUERINOS,1996
5185,PEÑALBA DE AVILA,1989
5186,PIEDRAHITA,1998
5187,PIEDRALAVES,2007
5188,POVEDA,1990
5189,POYALES DEL HOYO,1996
5190,POZANCO,1989
5191,PRADOSEGAR,1990
5192,PUERTO CASTILLA,1989
5193,RASUEROS,1990
5194,RIOCABADO,2007
5195,RIOFRIO,2014
5196,RIVILLA DE BARAJAS,1990
5197,SALOBRAL,1990
5198,SALVADIOS,1990
5199,SAN BARTOLOME DE BEJAR,2014
5200,SAN BARTOLOME DE CORNEJA,1989
5201,SAN BARTOLOME DE PINARES,2003
5206,SAN ESTEBAN DE LOS PATOS,1989
5208,SAN ESTEBAN DE ZAPARDIEL,1990
5207,SAN ESTEBAN DEL VALLE,1987
5209,SAN GARCIA DE INGELMOS,1990
5901,SAN JUAN DE GREDOS,2006
5210,SAN JUAN DE LA ENCINILLA,1990
5211,SAN JUAN DE LA NAVA,2004
5212,SAN JUAN DEL MOLINILLO,1989
5213,SAN JUAN DEL OLMO,1990
5214,SAN LORENZO DE TORMES,1989
5215,SAN MARTIN DE LA VEGA DEL ALBE,1990
5216,SAN MARTIN DEL PIMPOLLAR,2006
5217,SAN MIGUEL DE CORNEJA,1990
5218,SAN MIGUEL DE SERREZUELA,1990
5219,SAN PASCUAL,2009
5220,SAN PEDRO DEL ARROYO,1990
5231,SAN VICENTE DE AREVALO,1990
5204,SANCHIDRIAN,2010
5205,SANCHORREJA,1990
5222,SANTA CRUZ DE PINARES,2005
5221,SANTA CRUZ DEL VALLE,2008
5226,SANTA MARIA DE LOS CABALLEROS,1989
5224,SANTA MARIA DEL ARROYO,1990
5225,SANTA MARIA DEL BERROCAL,1989
5902,SANTA MARIA DEL CUBILLO,1989
5227,SANTA MARIA DEL TIETAR,1996
5904,SANTIAGO DE TORMES,2007
5228,SANTIAGO DEL COLLADO,1987
5229,SANTO DOMINGO DE LAS POSADAS,1989
5233,SERRANILLOS,2006
5230,SANTO TOME DE ZABARCOS,2015
5234,SIGERES,1990
5235,SINLABAJOS,1989
5236,SOLANA DE AVILA,1989
5237,SOLANA DE RIOALMAR,2007
5238,SOLOSANCHO,2009
5239,SOTALVO,1989
5240,SOTILLO DE LA ADRADA,1996
5242,TIÑOSILLOS,1989
5243,TOLBAÑOS,1989
5244,TORMELLAS,1989
